Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	-0.3340	30.4666	9.2283	15.3755	8.5724	11.1159	-56.9544	7.8638	-2.3744	9.8813	29.0527	15.4027	8.3116	18.1259	18.9709	32.9888
8.0000	3.7862	-3.6791	3.1646	-2.5365	-2.4484	-3.1439	-13.0398	-1.5684	15.3665	-6.5611	-11.3814	-5.7884	-4.7643	-4.9112	-7.8645	-10.7879
16.0000	-1.0706	-2.6154	1.1911	-3.6889	-1.7595	-2.8767	-0.1945	-1.8645	-1.2282	-5.3709	-12.6656	-10.3250	-1.4765	-3.5979	-2.0151	-5.2758
24.0000	-0.9950	15.3443	2.2577	-4.2067	-2.2151	-2.8874	2.0692	-1.5855	3.3205	-2.8508	-14.9925	-12.7069	-0.3902	-3.7234	1.6190	-4.1843
32.0000	-0.9985	22.1939	4.1452	0.3031	-1.5438	1.4279	-13.4373	1.3903	10.7807	3.9509	-10.0012	-7.3623	-2.7859	0.2222	-2.3576	-1.7670
40.0000	2.5210	20.1875	4.7978	3.8401	-0.6187	4.9413	-14.0476	2.6146	7.4428	11.4036	-5.2751	-0.8603	-3.9906	1.8656	-4.8130	-2.0037
48.0000	6.0960	18.4874	7.9086	3.7107	0.2775	4.1395	1.3857	1.1617	-4.3140	10.3494	-5.5917	-2.6998	-3.3399	-0.0277	-2.7074	-3.3865
56.0000	2.5245	13.9012	10.1051	2.3374	1.1367	1.1093	-14.6291	-0.5084	-17.2460	-2.9352	-14.0165	-7.1717	-5.0761	-1.5601	-5.3198	-6.3776
64.0000	12.7726	17.2644	10.4819	4.0423	2.7714	1.0396	-8.9420	-1.1714	-7.5412	-2.1814	-9.4616	-0.7804	0.6419	-0.4612	2.5490	0.2851
72.0000	9.3408	8.7468	1.9364	-2.5883	-1.2751	-1.7382	6.0804	-3.3696	-5.9966	-0.8537	-5.1758	-9.8761	0.7332	-4.6227	0.4716	-4.4907
80.0000	-2.5093	-4.6852	-5.9250	-11.0572	-6.2595	-6.8542	-8.3176	-7.0595	-21.2177	-16.1864	-19.2831	-26.9714	-9.0284	-11.4708	-21.6629	-21.8629
88.0000	7.3219	1.3756	5.1458	-0.9689	-0.0239	-2.0686	-13.8713	-4.0032	-18.1476	-14.9145	-14.3890	-14.2192	-5.0698	-3.6589	-14.7055	-7.1726
96.0000	11.0158	7.0718	14.5608	4.7315	2.5284	2.1228	-13.0342	-1.2127	-18.0678	-5.2255	-4.1392	-11.1410	-3.7745	0.0157	-6.3712	-0.3219
104.0000	10.5697	5.0463	9.7843	-1.1027	-0.7256	-0.8406	6.8869	-3.7570	-19.4983	-3.7534	-5.7097	-19.3128	-3.7377	-5.2598	-6.5547	-7.0692
112.0000	14.5195	5.4426	6.0612	0.0221	1.4712	-1.5046	4.2485	-3.8622	-13.6008	-4.3637	-2.2125	-7.2571	3.5655	-3.1272	5.4544	0.7654
120.0000	12.8206	6.3342	7.0728	-0.9956	0.0818	-2.8007	-17.2600	-5.0069	-20.7338	-10.0656	-10.7192	-8.0211	-4.3427	-7.4458	-7.0565	-13.9516
128.0000	14.8451	3.3491	12.0163	-0.0581	0.2288	-1.5569	7.4148	-4.1806	-18.6611	-3.7820	-10.2401	-11.5974	-3.8019	-7.1622	-4.1564	-11.6915
136.0000	19.2307	6.0204	16.4103	4.7557	3.8046	1.6559	6.4044	-1.8190	-13.2083	3.0845	3.4735	-7.5436	5.3722	-0.3421	14.4942	7.4125
144.0000	20.7319	16.7447	16.5292	3.5958	2.3107	0.3582	-0.3299	-3.4153	-18.2033	-1.1033	0.5005	-7.7595	-1.5388	-4.9150	1.7222	-6.1005
152.0000	17.2147	7.9749	12.2485	2.0593	1.2977	-0.6670	15.5400	-3.1328	-15.0016	2.3962	2.4646	0.6624	-2.8890	-7.1930	1.0140	-12.7242
