Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	-25.1913	-30.3671	-33.8826	-72.9086	-10.4309	-43.6823	-49.3695	-62.3654	18.3837	-45.1497	115.7344	-46.7564	25.1241	-40.6130	120.1045	-33.8950
8.0000	3.1279	9.2649	8.1211	16.9835	-18.1206	-4.7458	-10.1506	-71.4362	12.9959	-7.8364	24.6552	-2.3759	-2.9664	-15.7559	-25.2344	-21.6801
16.0000	0.6539	10.2437	5.6565	22.2955	-12.2247	4.9581	-8.8032	20.4648	11.2639	-6.7520	20.7997	-4.6631	-0.9492	-13.4622	-23.4191	-4.5589
24.0000	1.5794	12.8793	3.2421	20.1275	-14.9815	-32.2894	-35.9819	9.5543	13.3326	-10.4997	14.8040	-10.7283	-8.7455	-11.4205	-34.1304	-4.4235
32.0000	6.7616	18.4730	7.2965	19.4019	-17.5544	-23.5543	-28.6071	-21.4623	16.7439	-1.1117	24.0155	-2.8885	-5.8384	-19.9579	-31.6016	-11.5546
40.0000	1.1428	14.3939	4.2645	14.2952	-3.5743	-5.9723	-3.4428	39.6190	17.5828	3.6012	25.0006	2.4578	0.8136	-3.8435	-25.9599	-3.2832
48.0000	-1.4349	11.0222	2.5949	3.1885	5.9619	-22.5965	15.9289	21.7053	16.6721	2.9967	20.8783	1.6500	-0.2700	4.0559	-21.1702	-1.0873
56.0000	7.0515	16.8444	8.9020	1.0405	-0.0764	-8.1108	22.2036	-18.6622	14.3636	5.4049	22.9840	9.2059	2.0035	-8.1306	-13.2863	-6.4113
64.0000	6.5650	17.0340	4.7268	-2.4710	-1.1158	-1.0256	-3.8735	7.9462	15.2343	3.9604	22.4752	13.3403	4.5201	-0.7510	-10.9679	-7.4007
72.0000	6.2306	17.5221	2.3380	-2.0339	-2.0955	-7.9514	-18.3227	18.4672	13.9460	4.3040	17.6005	10.5243	2.3904	1.7769	-11.6214	-4.8626
80.0000	10.6978	20.5360	7.5495	5.7007	-6.9727	-1.3764	-10.5217	20.9615	9.9260	2.5661	12.5929	7.9515	0.2133	-5.1956	-15.2076	-0.8216
88.0000	3.6591	16.2900	4.1950	2.4246	1.5105	-11.2485	7.3233	-0.6589	13.4565	0.4521	17.8024	5.7479	0.4883	-1.8357	-14.2594	-2.4784
96.0000	0.7060	16.3515	2.7150	3.0838	5.5787	-9.5781	23.5063	-28.7886	15.7579	2.2023	24.7258	5.0453	1.8469	-4.0300	-8.8581	-5.4676
104.0000	1.6582	17.8626	2.5205	6.9044	4.5292	0.0369	19.2852	5.8226	14.3137	3.9455	23.3809	5.9339	3.5777	-3.5759	-5.0402	-1.6036
112.0000	-9.6817	7.5693	-3.9693	-1.1958	10.2193	-4.8080	8.7283	28.6185	12.4577	4.5346	20.5473	2.6137	5.3617	0.4186	0.9468	2.6107
120.0000	-10.7530	5.2945	-3.1209	0.1386	-0.0369	1.7894	-14.9025	12.4522	5.6150	-2.5850	12.4369	-4.6480	2.3733	-2.5762	-2.4051	2.4967
128.0000	0.6846	18.2512	3.9521	10.3403	-8.0703	7.0289	-13.5291	19.5261	5.3850	1.3394	10.3229	-0.4597	1.0004	-2.5253	-4.9721	0.8026
136.0000	-0.0467	15.4898	3.8625	7.4099	0.7438	3.6015	9.9118	39.8994	7.3484	10.1455	12.1308	4.6352	3.7614	0.7293	0.4859	2.7543
144.0000	-6.7439	0.7142	-2.2103	-4.7038	-4.4964	-2.2186	-29.6547	18.7799	0.4091	-3.4248	1.0874	-5.0393	-0.1086	4.5525	-5.5658	1.8587
152.0000	-2.4429	7.3567	-0.4252	-8.4464	-7.4077	-0.7767	-32.7997	-25.0108	0.6487	-2.1031	2.5311	-2.0704	-0.5002	2.5911	-3.4911	-3.1185
160.0000	6.1924	17.3750	5.8414	-5.2735	12.1903	12.9082	52.6079	15.1237	4.4689	12.1756	11.5424	10.3387	6.8831	3.8887	14.5507	7.0260
168.0000	4.4528	9.1031	0.7493	-8.2188	21.8454	10.6014	63.3928	76.8824	-0.4820	5.4835	1.4546	6.1940	7.0556	14.6463	22.5125	19.4474
176.0000	5.1604	9.1733	-3.2774	-6.8502	10.8159	7.0500	12.7703	23.0421	-3.9117	2.9438	-8.1696	4.3778	1.9245	8.9240	17.3845	12.1631
184.0000	12.3424	15.6396	-0.1104	-3.2788	4.6753	7.8143	0.6802	-45.5741	-3.1250	4.4579	-11.9393	11.9670	-1.1963	0.6129	9.5667	2.7486
192.0000	6.3231	8.0264	-4.1218	-4.1912	6.4405	6.8130	-14.4491	-17.9721	-4.4436	2.9391	-17.7407	13.2105	-0.2316	4.9531	10.2111	3.8428
200.0000	1.7633	3.8909	-5.9961	6.9270	-0.8360	20.1640	-33.7981	10.3732	-10.5909	3.0802	-24.5470	4.0536	-1.7012	1.8259	9.0333	8.8452
208.0000	6.3236	7.6620	0.0361	15.6966	-9.3251	4.6556	-22.1215	-39.6021	-14.5284	-2.9278	-30.3214	-6.0900	-9.2488	-1.7360	3.5001	5.2379
216.0000	4.2840	7.2500	2.6446	17.6279	-7.9551	-10.4902	-3.6544	-34.8934	-11.2009	2.0457	-24.5114	-4.5963	-7.9713	-1.8879	9.7117	0.4768
224.0000	0.8768	4.1099	2.4779	21.9305	-7.6772	15.1601	-1.9397	32.5401	-13.7679	5.1330	-23.2789	-8.3026	-4.3357	0.2523	7.2106	10.7777
232.0000	-5.6882	-4.3026	2.3415	11.8548	-9.6090	7.8390	-7.8872	-12.5660	-19.0426	-2.3379	-31.2238	-17.3427	-8.4969	5.6780	-2.0103	9.6630
240.0000	-8.4096	-9.2722	1.9281	6.7219	-6.3079	-10.0088	-4.3989	-31.8370	-14.5353	3.2019	-27.2880	-9.6233	-6.8576	2.8572	2.4164	0.7798
248.0000	0.8836	-5.5098	0.7918	9.0830	-2.4175	-5.2614	-6.6504	26.6309	-11.6050	2.8097	-25.3489	-3.4051	-5.2523	-1.9440	2.2121	9.2873
256.0000	6.0824	-4.1945	0.4803	-0.5215	-1.1689	-9.2606	-9.0107	-8.6011	-12.6518	-1.6182	-27.5489	-0.7210	-6.3653	-3.9668	4.4078	8.1872
264.0000	10.3256	-1.5026	2.8086	1.7667	1.1145	6.4762	8.0959	0.6402	-12.3324	0.4035	-26.7229	9.0605	-1.8697	1.4488	12.9223	4.5828
