Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	-2.4813	-3.6581	-1.6231	-3.9498	-0.6962	-2.0771	0.2626	-1.1816	-5.6274	-4.6199	-2.6711	-4.5086	-2.3584	-0.9494	-1.5924	-0.3402
8.0002	-3.2110	-10.5388	-2.2535	-5.5329	-5.9742	-6.0932	-6.1344	-3.8143	7.5255	-11.3869	-3.3842	-7.5503	-4.2169	-4.4304	0.2120	-0.9296
16.0004	1.2858	-0.5202	2.6936	-1.0695	1.1404	0.1748	-0.2705	1.3547	-1.8518	-1.2865	3.2292	0.3411	2.7186	0.3573	2.5583	1.0134
24.0006	-4.4290	-8.3782	-4.3528	-5.2795	-5.8380	-4.7575	-4.2149	-3.7466	1.5634	-8.9264	-5.8060	-7.3971	-6.4356	-3.3144	-2.5450	-1.2725
32.0008	0.0559	-4.3094	1.5316	-2.5314	-1.3587	-2.4414	-2.6469	-0.7078	3.8280	-5.1518	1.4399	-2.4843	0.4360	-1.6890	1.9972	0.2295
40.0010	-1.1342	-3.0438	-0.2364	-2.7170	-1.1002	-1.6951	-0.9686	-0.7991	-2.1060	-3.7613	-0.7200	-2.8714	-1.3293	-0.9613	-0.2468	-0.0892
48.0012	-2.8771	-7.3753	-2.4749	-4.1028	-4.8796	-4.2929	-4.3189	-3.0635	4.1023	-7.8779	-3.4642	-5.7503	-4.3806	-3.1195	-0.9554	-0.9176
56.0014	1.3541	-1.2038	2.9931	-1.0368	1.4255	-0.9128	-0.2048	0.4808	1.5813	-2.0323	3.1172	-0.4130	2.5289	-0.4827	2.2988	0.5324
64.0016	-1.9556	-5.3565	-0.9318	-3.4681	-1.5327	-3.8340	-1.3847	-2.5012	-0.1321	-6.1645	-2.1765	-5.0537	-2.3948	-2.5376	-0.9466	-0.9031
72.0018	-0.0238	-4.2060	1.1227	-1.7762	-0.7659	-2.9641	-2.0356	-1.3824	-0.6187	-4.7762	0.7390	-2.5547	0.5021	-2.1443	1.5356	-0.2585
80.0020	0.8243	-1.1849	1.6898	-0.2782	1.0433	-1.1463	-0.1575	-0.1962	-3.5414	-1.5337	1.6401	-0.4193	1.8091	-0.7901	1.5037	0.0611
88.0022	-0.3709	-4.2691	0.2858	-1.2140	-1.3184	-3.4138	-2.2010	-2.2229	3.2024	-4.5212	-0.3870	-2.8032	-0.6127	-2.6321	0.5965	-0.8090
96.0024	2.6740	0.0484	3.8881	1.3779	2.3898	-0.9330	-0.0374	0.2037	-0.1348	-0.1824	4.1887	1.3787	4.0374	-0.8424	3.0283	0.1986
