Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	0.1182	-0.1079	0.8199	-0.7751	0.3946	-2.0750	-0.1772	-2.2274	0.1378	-0.9591	0.4854	-1.3000	-0.4159	-2.3082	-0.5919	-1.0519
8.0000	-3.1843	-5.1295	-1.5135	-5.2059	-1.7922	-6.5003	-3.7766	-7.7839	-5.3516	-7.3431	-2.5545	-8.9163	-2.3015	-6.5257	-1.8606	-3.4603
16.0001	-2.7138	-4.1420	-2.0517	-3.4185	-2.6394	-4.9720	-3.7026	-6.2949	-2.1516	-5.4026	-2.7387	-6.7012	-2.6048	-5.2334	-1.6811	-2.8932
24.0001	0.2355	-0.8509	1.5929	-1.3575	1.2029	-2.8338	0.4639	-2.4337	0.4074	-2.0036	0.9278	-2.2653	-0.0141	-2.6881	-0.4410	-1.1879
32.0002	-2.4636	-5.0646	-1.0557	-4.1222	-1.6585	-5.8900	-2.3870	-6.1329	-4.5738	-6.7014	-1.9981	-7.6189	-1.8194	-5.8278	-1.0895	-2.9130
40.0002	-0.9423	-2.0398	-0.2232	-1.8025	-0.7048	-3.6708	-1.5088	-4.0148	-2.9266	-3.0581	-0.8646	-3.4518	-1.4049	-3.7424	-1.0932	-1.8263
48.0002	-2.4116	-5.3135	-0.3888	-4.6804	-0.7307	-6.6303	-2.3333	-6.8639	-3.9161	-7.3533	-1.8018	-8.3729	-1.8863	-6.1174	-1.6016	-3.1459
56.0003	-3.8290	-6.7138	-2.8147	-4.8712	-3.4926	-6.9163	-4.1907	-7.8559	-4.5636	-8.2333	-3.9806	-9.5954	-3.5149	-6.8233	-2.0411	-3.7007
64.0003	-0.7462	-2.2691	0.4635	-2.1670	0.0756	-4.1135	-0.8705	-4.0661	-0.4689	-3.5636	-0.4315	-3.9133	-1.0953	-3.9349	-1.0512	-1.8668
72.0004	-2.3438	-5.9599	-0.5269	-4.3804	-1.1506	-6.8185	-2.0714	-6.5128	-2.2293	-7.7395	-1.8520	-8.3616	-1.6723	-6.3676	-1.0203	-3.1053
80.0004	-1.7220	-3.6782	-1.2012	-2.2547	-1.9235	-4.6019	-2.1877	-4.8225	-4.0506	-4.5199	-2.0197	-4.8811	-2.3128	-4.5621	-1.3242	-2.2876
88.0004	-1.9275	-4.1778	-0.3769	-3.7096	-0.7678	-5.8977	-2.3541	-6.2721	-4.0443	-5.9367	-1.6256	-6.6374	-2.0231	-5.5447	-1.7040	-2.7947
96.0005	-3.4355	-6.6020	-2.3876	-4.5262	-3.2310	-7.1744	-4.1688	-7.9275	-3.7427	-8.1284	-3.5829	-9.1586	-3.2460	-7.0756	-1.8346	-3.7029
