Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	-5.7098	10.0689	-2.6579	4.8520	5.7035	11.3811	-6.0918	-3.8646	1.6739	-19.9025	-20.5398	-41.1375	-0.2513	16.3445	2.7708	-17.4394
8.0000	-8.3745	0.9839	-10.6304	-12.4347	7.4832	-10.4462	-6.3847	-4.6244	12.3895	-16.8323	-9.4801	-37.0668	3.9385	34.8170	-4.0600	-21.8946
16.0000	-9.6190	-12.6461	-26.5476	-26.9366	-11.8704	-30.9656	-6.6662	-11.8619	1.4343	-39.4907	-31.4903	-63.9551	4.3682	22.6130	-2.0629	-26.5263
24.0000	-2.2148	-20.8673	-33.1547	-29.3552	-33.1044	-32.7254	-2.3943	-20.3945	-21.0916	-58.7413	-49.6132	-80.5010	-0.1998	-11.9550	9.7024	-8.9285
32.0000	0.8554	-6.1394	-9.1574	-10.3903	-19.2647	-13.1507	-0.5225	-14.3632	-21.3222	-42.2389	-38.3079	-68.8948	-2.7063	-28.4731	11.5437	-0.3944
40.0000	0.3981	8.2117	11.7563	2.7242	-1.1542	2.8249	-6.0480	-15.8367	-1.4228	-15.7536	-6.7203	-38.3996	0.6799	-9.3568	4.5472	-15.3286
48.0000	-2.7058	-5.7442	-6.1224	-18.6096	-7.7942	-17.9430	-8.4097	-26.8725	1.4217	-19.7958	-3.8419	-38.0522	3.0059	-1.5589	-4.5577	-23.8090
56.0000	-7.9767	15.2528	16.3479	9.7745	12.6329	1.0284	-8.5784	1.2682	15.1248	1.1562	3.5720	-29.6358	4.9423	14.8805	-10.6022	-29.1613
64.0000	-6.1629	28.6586	32.4910	26.9667	21.4302	21.6339	-9.0828	17.3877	29.0983	26.2450	26.0181	1.1782	9.0061	34.7392	-10.1772	-32.9980
72.0000	-2.3228	9.9584	12.5449	6.5953	-0.7893	9.4620	-7.8133	-0.9865	10.1923	15.2857	16.1300	1.9989	6.6957	2.8493	-8.7698	-28.8349
80.0000	-1.7736	27.5937	35.5216	33.2560	17.0456	33.2845	-9.0063	5.6751	17.9042	36.2629	32.8759	26.3221	4.5628	3.5649	-12.4837	-27.7653
88.0000	-0.8569	22.1421	31.1247	24.2293	18.7662	24.0297	-8.3316	8.3859	29.5209	45.9593	50.0318	48.4379	8.5049	26.6255	-13.4054	-28.4189
96.0000	0.7125	2.8465	12.9464	4.1138	-4.5349	0.4323	-4.7691	-0.4650	11.2578	19.2150	21.5139	24.0942	6.5067	2.6240	-5.4082	-20.2563
104.0000	3.6366	10.3350	24.6105	14.3911	0.8435	10.6529	-3.8708	1.6743	13.2087	23.6410	27.5278	29.1271	5.4254	2.8974	-1.0812	-13.7045
112.0000	5.5706	-7.7206	1.8635	-11.3912	-12.5032	-10.4673	-2.6869	-11.0633	5.9179	12.6032	25.8025	24.5619	6.5190	-1.8752	0.2549	-13.0427
120.0000	3.5185	-6.2134	1.8028	-3.8285	-16.0990	-5.4467	-4.1033	-22.0776	-7.8395	-8.2930	-1.7904	-2.1930	-0.5991	-24.1802	1.0733	-8.9212
128.0000	3.2018	6.5601	11.9901	9.0634	-0.0235	13.0776	-5.3997	-16.4817	3.3190	4.2459	11.9684	11.0142	-0.7275	-3.6148	-0.0883	-8.2727
136.0000	4.9602	-5.8851	-3.9977	-8.0577	-3.8498	-6.8315	-1.7496	-16.3637	0.0930	-3.7222	10.9987	7.9111	1.0439	0.4004	6.9814	-6.1579
144.0000	1.4904	0.8154	5.9660	5.6925	6.7496	-5.7934	-3.5513	-22.4967	-3.1240	-15.2060	-4.0254	-9.1264	-4.4907	-10.4831	6.4260	-7.5719
