P1,P2,P3,P4
-3.937445239143878339e+00,-1.739610245230327479e-01,-1.113246963666973954e-01,7.963846183055860450e-01
-1.968317959744856571e+00,-2.017859825690901943e-01,-7.230515832420207900e-01,4.439017623225653963e-01
-1.770559401747780370e+00,-1.828493385006773053e-01,-3.412078545788155282e-01,-2.204433567261141924e+00
-1.899444997825690873e+00,-1.503077519785538385e-01,-3.186999034740223280e-01,-1.036064931955667845e+00
-1.039677626633918273e+00,-2.374037089306506587e-01,-1.868574931589863652e+00,-2.023031724982974566e+00
-1.728689414826694026e-01,-1.533063343869978112e-01,-1.358865029156661741e+00,8.148707700193966730e-01
-1.648509902122069271e+00,1.204126038920989572e-01,8.984476249201556186e-02,1.169519502633465713e+00
-3.831922422349254287e+00,-4.233987555457803253e-01,-2.193814657604113538e+00,3.800112574225078532e-01
-2.820693082267258234e-01,-1.352987146197470736e-01,3.612839523542517028e-01,1.271408198889253605e+00
-5.590244635499410641e-01,-1.431175784191749401e-01,-6.040309033153210549e-01,1.424040869686101551e+00
4.287381743550569002e-01,-1.445712133850145520e-01,-2.313959512447345546e-01,4.374336967842498147e-01
6.305171714615158685e-01,-1.152818175143250912e-01,-2.595629230502884965e-01,4.320332097473369437e-01
9.773092124196391950e-02,1.476963974521592782e+00,-5.941026218117468893e-01,5.990384276655922324e-01
7.755572927859124555e-01,-2.395316474840774035e-01,-9.964735249943879047e-01,5.055912563152848982e-01
1.845912016614388307e+00,-1.361732591128195224e-02,-4.277375908063083543e-01,7.112138089798447638e-01
3.132982396601278197e-01,7.091176541765964458e-02,-1.473530072805395719e-01,2.174496556374143630e-01
