P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
-4.322490162436862793e-01,6.975653755064799011e-01,6.399720466382139428e-01,-7.931991843442816048e-01,-9.335485564642160838e-01,-3.197769503722072582e+00,4.553417894760238838e-01,9.544659080663817630e-01,-3.937445239143878339e+00,-1.739610245230327479e-01,-1.113246963666973954e-01,7.963846183055860450e-01
-1.602473562691797637e+00,3.357405234663786153e-01,-6.465608228293895365e-03,-1.625558551009851804e+00,-1.998949780117489361e-01,9.451607020957405458e-01,1.452576831192153861e-03,8.219866804389142079e-01,-1.968317959744856571e+00,-2.017859825690910824e-01,-7.230515832420207900e-01,4.439017623225653963e-01
-8.135625360564788799e-01,-5.799696798311342327e-01,1.672202141826204524e-01,4.743096741627903512e-01,-2.584226652296974791e-01,9.890647919293943380e-01,5.672122873186236092e-01,1.260065688654639970e+00,-1.770559401747780370e+00,-1.828493385006773053e-01,-3.412078545788155282e-01,-2.204433567261141924e+00
-6.848434012962689721e-01,3.902638515222949689e+00,7.532858882432753589e-01,9.320530779905684682e-01,1.734511508415970127e-01,6.128688571536677898e-01,-7.860036905330125556e-01,7.902542632486655449e-01,-1.899444997825690873e+00,-1.503077519785538385e-01,-3.186999034740223280e-01,-1.036064931955667845e+00
-8.982283296330098032e-01,4.985110410459858699e-01,1.295467793189235550e-01,-1.592172639211587803e+00,-1.008484725171880925e-01,1.026516242062940343e+00,1.385121786607390604e-01,7.082703723212682156e-01,-1.039677626633918273e+00,-2.374037089306506587e-01,-1.868574931589863652e+00,-2.023031724982974566e+00
-5.701287572915654245e-01,-2.018693695093151330e+00,-1.150914184870055479e-01,-2.109285507848079888e-01,-1.275840333847888530e-01,4.499029391898831776e+00,-5.232378354305788903e-01,5.733653533246205747e-01,-1.728689414826694026e-01,-1.533063343869978112e-01,-1.358865029156661741e+00,8.148707700193966730e-01
7.708847877361302281e-02,-2.234035327148034433e+00,1.436399129367958327e+00,1.078280685026268060e+00,-2.378684481881700119e+00,1.436951419877960490e+00,1.438625951579777684e+00,1.434833574023352654e+00,-1.648509902122069271e+00,1.204126038920980690e-01,8.984476249201556186e-02,1.169519502633465713e+00
3.763470224557652344e-01,-4.028824276272490401e+00,-2.131182260433313047e-01,1.956628286391559612e-01,-1.778547165556902065e+00,-1.428798688574340225e+00,7.150128526873924528e-01,1.932396905443063417e+00,-3.831922422349254287e+00,-4.233987555457803253e-01,-2.193814657604113538e+00,3.800112574225078532e-01
-2.815206926556124589e+00,-8.920483690565172097e+00,-1.750744340448966874e+00,-5.793488770570203172e-01,-6.997844949763192268e-01,2.590186905229101555e-01,-4.186631464782841761e-01,3.126970051662949501e-01,-2.820693082267258234e-01,-1.352987146197479618e-01,3.612839523542517028e-01,1.271408198889253605e+00
-8.335571340652845329e-01,-8.752890973030895694e-01,7.265039965545367906e-01,-9.417790961145926509e-01,-1.237300843932081840e+00,-7.371461791864359903e-01,1.933328285146815873e-01,9.796999934294934320e-01,-5.590244635499410641e-01,-1.431175784191740519e-01,-6.040309033153210549e-01,1.424040869686101551e+00
-9.785428560808067111e-01,2.827743602821365387e-01,-8.270981360221973944e-02,-5.338768266243132388e-02,-8.038934824672807622e-01,1.392357279058087371e-01,-2.765050741990027205e-02,2.837922805943813298e+00,4.287381743550569002e-01,-1.445712133850145520e-01,-2.313959512447345546e-01,4.374336967842498147e-01
-1.895933127681349806e+00,1.755536590938444164e+00,2.573638780465703491e-01,-1.415213806856295164e+00,-3.957100531756818640e-01,-5.700716609956515413e-01,-4.730686569440809564e-01,1.667946599454732226e+00,6.305171714615158685e-01,-1.152818175143250912e-01,-2.595629230502884965e-01,4.320332097473369437e-01
-1.025271572358221750e+00,7.138404474381284670e-01,5.225505365775044986e-01,-1.791306846184206769e+00,4.130243853082148142e+00,6.795470885794681060e-01,2.994016717765296320e+00,8.204788923368278031e-01,9.773092124196391950e-02,1.476963974521592782e+00,-5.941026218117468893e-01,5.990384276655922324e-01
-8.378575635129159593e-02,-6.489075659733747337e+00,-5.175737234779305140e-01,-1.466862062878574235e+00,-3.164341594084874032e-02,-9.530227912788835631e-02,2.137313459403822336e-01,4.756426094368153557e-01,7.755572927859124555e-01,-2.395316474840774035e-01,-9.964735249943879047e-01,5.055912563152848982e-01
-4.627011932927633797e-01,1.325609299384559403e+00,8.252356002056058237e-01,1.768048133947424105e-01,-3.081282653517778414e-01,2.553148958769948962e+00,2.520449928725687627e-01,8.981609292125076749e-01,1.845912016614388307e+00,-1.361732591128195224e-02,-4.277375908063083543e-01,7.112138089798447638e-01
3.399096458037771384e-01,1.091049520641334869e+00,-3.790442986795445890e-01,-1.533245943687187918e+00,-5.490235811276660272e-01,4.438522927289332287e-01,2.216401103348211166e-01,5.744317217801313546e-01,3.132982396601278197e-01,7.091176541765964458e-02,-1.473530072805395719e-01,2.174496556374143630e-01
