P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
2.852430783724613228e-01,2.069951059097148161e-01,3.792591259171085305e-01,-2.531026358112196561e+00,-1.605809167100380019e+00,-5.237872399082466046e-02,5.927508247009392051e-01,4.334766930363220805e-01,-4.570660158789827676e+00,-1.270208494379456710e-01,-7.876013561378680805e-02,3.306052027472015098e-01
-7.644415997830080745e-01,-8.756840741776583670e-01,5.345039673100844269e-01,-2.502212946094222623e+00,-9.545674809001720718e-01,1.270268734132515620e+00,-4.537021226554305287e-02,5.364397271049041738e-01,-2.854188604693028708e-01,-1.143379521682934552e-01,-4.570354568692680530e-01,3.682929798854086556e-01
6.084149811099051064e-01,-1.235173201486353900e+00,4.660797920265320471e-01,1.242115010557843569e+00,-6.037220644374619027e-01,1.288477884571519461e+00,3.865090958051551340e-01,6.539505044609716933e-01,6.116044794263419959e-03,-1.211104003871721346e-02,-3.239150908023988862e-01,1.851315610796211431e-01
-2.707782269479483972e+00,3.381183072702580450e-01,2.933489693961703892e-01,-1.600613598655922232e-01,-3.852224948597031684e-01,-1.802738022930183703e-01,-9.242008507922667704e-01,3.441060334825367661e-01,-1.917332583887830566e+00,-1.164572262938010638e-01,-3.127975789898549408e-01,1.621670585227192873e-01
5.212941917201443509e-01,-2.139818384055724998e-01,4.111791996409408512e-01,-3.060515214636705394e+00,-3.582824549478329512e+00,8.897709189569802390e-01,3.138009302934552380e-02,3.994273146156381848e-01,5.680775425162449821e-01,-7.452761269535468358e-02,-1.860098643350978520e+00,1.009263393708659251e-01
-3.201583505004469199e+00,-1.776283167228352555e+00,4.165530212723300707e-02,-8.822540214127183589e-01,-2.098205295641335510e-01,2.620460718750565743e+00,-1.331776033178167840e+00,1.506717914526425339e-01,-7.704126341431338787e-02,-1.207729422668712971e-02,-1.362120640542387573e+00,-1.001650390286222603e+00
6.607517002376304127e-01,-6.548463867650733405e-01,-5.006824310568549485e-01,-3.723959359238769196e+00,-3.713952611971317985e+00,2.425224721461428423e+00,6.975007651261995179e-01,3.047969846872807587e+00,-7.509784466520397217e-01,3.805045726347655588e-01,9.468815427934007545e-02,6.912221828704492310e-01
-9.834320295087595198e-01,-3.873865862650017089e+00,-8.606002390658673562e-02,-4.541387198870801001e-01,-2.533623526549995564e+00,7.972453936081498327e-01,-5.743845149490560686e-01,-1.192773569830221980e+00,-3.859607516694028906e+00,1.087606271640906286e+00,-2.197336550701052715e+00,3.043026198775322655e-01
-1.123122189894990797e+00,-9.358221177862807494e+00,-1.002763812399362742e+00,-1.339090601953127901e-01,-1.953653227471156217e+00,5.956401018077164267e-01,2.252501005735672024e-01,-2.886789340773003421e+00,5.935808975043510571e-02,-8.835691155711966616e-02,3.637573951805652683e-01,1.472161697216164633e+00
-2.876266203826736589e+00,-1.166265788163867612e+00,-3.922271608048868430e-01,-3.906985306241844480e+00,-1.738147601753767368e+00,2.267949447797095175e-01,-1.192750134285320840e+00,-1.277893475997196049e+00,-1.171813183045129936e+00,-4.963366254234724551e-02,-5.910268338928803544e-01,3.913828834243329169e-01
6.434919523712960832e-01,-8.814456676139360569e-01,7.152008777560503461e-03,-2.787595203674686051e+00,-1.157625685913173275e+00,1.206848340289585764e-01,-1.229651484223657221e-01,5.239479918236278344e-01,3.255016979326481597e-01,-8.504297057361753787e-02,-2.165052897514208041e-01,4.696537797483508747e-01
-2.507399670294880867e+00,7.888343085821611922e-01,1.138513114937172332e+00,-4.069696659408221784e+00,-1.927422215648328940e+00,-5.191977116753934141e-01,-7.104101301865313189e-01,1.448603501618884959e+00,2.239396537823594713e-01,1.988970769086240153e-01,-2.460900676489217176e-01,5.315972762396845575e-01
5.277843155520218765e-01,-1.900386735774696634e+00,2.149576332923275324e-01,-2.557631791177079617e+00,5.253186179325787464e+00,8.392547633257843032e-01,3.345216646781547176e+00,6.560360989026754908e+00,-2.434340752413968190e-01,9.553564435987231818e-01,-5.658002340618657477e-01,5.455406131324431751e-01
-2.517491388955897413e+00,-6.724209959808293391e+00,4.569280670257196419e-01,-2.657709833044368253e+00,-3.877507511561582021e-01,1.451069989232569579e-01,1.350118055417270924e-01,2.155636618715002228e-01,3.739665320295935125e-01,-5.364548386857936890e-02,-1.000396162293031743e+00,2.649686025899655739e-01
5.733056660501492097e-01,-3.476030147831281614e+00,8.545678912394962801e-01,1.481314868899707982e+00,-6.170595116020614057e-01,3.370925140552957000e+00,2.698226604725473265e-02,1.430481528849005812e-01,1.199907805472672173e+00,2.444461002069262534e-01,-4.137760754674584263e-01,4.651588628917062707e-01
-1.181915216624706222e+00,3.162968217663308934e-02,-5.544899943637329187e-01,-3.606389263009271762e+00,-1.959026576320295199e+00,2.887803971835518624e-01,8.275722699400933635e-02,2.710878864426877755e-01,1.530000040004466655e-01,8.591050777678868045e-01,-1.443116437900036075e-01,2.607640688794603534e-01
