P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
-6.439973926256403747e-01,3.219796129653205163e-01,5.564066721615059663e-01,1.991178519381797685e-02,3.650395722689125932e-02,-4.241855603479350201e+00,7.178932504140540516e-01,1.688922862308867012e+00,-7.387983692976023420e-01,-2.926512255916557947e-01,2.246588861578846519e-01,8.580405648353508496e-01
-4.416549719435369781e-02,2.089553455655007941e+00,6.368530691438207825e-01,-3.729372486031845568e-01,3.946522563093957103e-02,7.882988945285351878e-01,5.194092501435969567e-01,1.143246343740199178e+00,1.283818520953463604e-01,-2.854422322192737838e-01,5.220146989253543701e+00,2.535082133219059841e-01
-1.147437824844756538e+00,5.671352093805297478e-01,6.379326004051533161e-01,7.113559273241678582e-01,-8.922044135370565954e-02,8.744928610509601352e-01,5.168169252834919902e-01,1.405894311179281431e+00,4.006087984611341746e-01,-3.006983077756917311e-01,-3.893706401152217111e-01,-1.088183920027949281e+00
-7.732082114643015203e-01,4.002847138576157704e+00,1.059674365237004423e+00,3.887965950973715223e-01,1.716711891041251548e-01,1.092648705494768002e+00,4.285519260634060856e-01,2.274984112019447391e+00,1.615867411658484798e-01,8.426202069539989736e-02,4.004904814746277353e-01,8.869936980256101222e-01
-1.318344247204980224e+00,7.463503161948240816e+00,7.120147403179313272e-01,2.186918344539652281e-01,2.220411882573820606e-01,6.916004521285668005e-01,3.453279637976143235e-01,6.936921464507981305e-01,-6.517608217710608720e-01,-2.130050921538817477e-01,8.460422808344008061e-01,-5.958996288055091739e-01
-5.609782813261166012e-01,3.844689393531748323e+00,7.669180662182997210e-01,-7.293537195822912267e-01,1.725705949399714001e-02,2.873445218679392621e+00,4.921104211005120632e-01,8.465226048488831978e-01,1.723516907041364732e-01,-2.532167752812144457e-01,8.803436429890636461e-01,3.328561909577487654e-01
-1.074659391756814131e+00,-5.003192942473114968e+00,1.669600961758916480e+00,1.547556867814667392e+00,-1.897091221687295715e+00,-7.948535732201400528e-01,1.931538972098672424e+00,3.037156336775096221e+00,-6.737356793223296947e-01,2.435765402062894935e-01,8.005319102214727423e-01,2.215278038068155375e+00
-8.456110862041894549e-01,-1.893214104563077260e+00,2.233136785707570127e-01,5.801583295818071306e-01,-1.327013496249581870e+00,2.870765821582422106e+00,9.267960879372116878e-01,-5.856768188425496291e-01,-3.771068389587757697e+00,-3.434862538604637194e-01,-1.441785139614281785e+00,9.286450339878875582e-01
-1.528877637959029423e+00,-7.679266063710708856e+00,-6.925798879124673846e-01,9.656408824628037735e-03,-1.771397031314974058e-01,-3.505250664643618119e+00,-1.922804864535745395e-01,-8.814684801233951816e-02,-2.731786816193994660e+00,-2.077756544318303256e-01,5.862942121750807090e-01,-1.778994198623860878e+00
-3.729058529310385062e-01,1.254972903323526623e+00,2.740949420415628168e-01,-6.047021010934905405e-03,-6.542330538471476942e-01,-1.976525866050254043e+00,7.288966198695696619e-01,1.389937282711440680e+00,-1.249739623505079944e+00,-2.119820134812480106e-01,7.181347794423889042e-01,8.444218381222139413e-01
-9.063201200819590575e-01,1.947059444692326835e+00,2.948525575091158757e-01,2.899566017925589989e-01,-1.668173634603666855e-01,1.016843902560964352e+00,2.900301229282034043e-01,3.144663894856834840e+00,-4.582802855068021097e-01,-2.432568764759492908e-01,2.884037635179561576e-01,9.970907160177442385e-01
-8.095386607653956013e-01,3.773613287475236167e+00,7.460610476339466501e-01,-2.278507285312878494e-01,7.158588092249651424e-02,-1.109854503934286640e-01,3.328154404290302182e-01,2.962642081025460339e+00,7.609676354340857429e-01,-2.031885984757719754e-01,1.018866297109584096e-01,1.064479031084553551e+00
-1.266979459711598643e+00,9.873233118038660105e-01,8.413992102893179670e-01,2.750754853289648860e+00,3.792694262657008153e-01,-5.903583783805472773e-01,-1.105352790272049468e-01,6.115061755953242972e+00,5.347835880179862222e+00,-3.097636232905109921e-02,-1.646786850420878245e-01,1.375984751111844817e+00
-7.650506715418909920e-01,-4.282266213650472331e+00,9.768765623230510897e-01,-1.808285543284409158e-01,3.752061162662139182e-01,3.743792351069713753e+00,4.326072916429284376e-01,6.639668271362184626e-01,8.539221084326364952e-01,-3.572408921088916500e-01,4.427622253999459190e-01,6.963695041296347199e-01
-1.110972589004113331e+00,-5.872859090748785427e-01,8.087413955065660964e-01,4.993510768131672606e-01,4.052582527634562837e-01,4.259341457627348060e-01,6.236417389511652587e-01,1.308435040053582910e+00,9.016203567529066376e-01,4.455921570608056825e-01,1.278546698649716262e-01,1.721949830181028318e+00
-9.231662114706773448e-01,2.705685269978886254e+00,-4.594828590909347810e-01,3.131564529758179560e-02,-2.935849730716455497e-02,7.981461691732887331e-01,4.255135275251102911e-01,2.588550531174067082e+00,4.018470156552362837e-01,5.288016054386446285e-03,6.769989427287015360e-02,8.529798276788329581e-01
