P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
-4.933034178199320330e-01,4.239190602887735082e+00,6.955753145814211891e-01,-9.245134232988947431e-01,1.615009503316242601e-01,-3.130797176040279073e+00,3.727987829095900096e-01,1.289484831026317613e+00,1.483073283745006243e+00,-1.976763572232060895e-01,-2.770434155356156225e-01,1.080177961453712143e+00
-3.691959219313791785e-01,1.597419782400028021e+00,3.494794991812115725e-01,-1.591765791924198759e+00,1.391374053509135678e-01,3.823094417508060006e-01,2.022791418259064500e-01,8.254223091984120853e-01,7.081762056383813508e-01,-2.050667993207131445e-01,-9.881227715856022442e-01,2.699522733812962372e-01
-4.227063026468065310e-01,-1.629789330364461719e-01,2.816539210473241184e-01,3.776395701962975693e-02,1.769252320215928265e-01,4.132200937342423441e-01,3.207181280106290444e-01,1.163580427109343063e+00,5.663474299246726851e-01,-1.381072741228992484e-01,-1.881151130479770117e-01,-1.179918473196499118e+00
-8.927918396912570831e-01,5.075320326939722904e+00,8.367325048592553216e-01,9.305613360463764749e-01,6.005944302030776782e-01,1.179847034742813605e-01,1.046368826788910411e-01,1.941906520541527126e+00,4.868487764727804645e-01,-1.518837567114097453e-01,-1.261895306253268956e-02,5.628634464735347009e-01
-1.152586588873787399e-01,7.644225793593777851e+00,6.557617374525994691e-01,-1.357828333016974920e+00,-1.088549802922327281e+00,6.033131048458626466e-01,4.730143939839859257e-02,4.055810090376223975e-01,-9.053357912467152602e-02,-2.870168094881258014e-01,2.431795374188707726e-01,-7.680669959459716090e-01
-7.937916582906119345e-01,-7.773101630821843688e-01,1.079449999655767378e+00,-1.656102444532058460e+00,-8.867040227071179004e-01,1.834907410010952811e+00,-1.210566197624887153e-01,5.192467334655286315e-01,7.786490011203865969e-01,-1.620147320587808082e-01,6.853378923209447748e-01,1.188669568265241061e+00
-4.430044192282034388e-02,-5.359729234776210660e+00,2.230491785546647510e+00,1.192336455750701241e+00,-1.983258690882315101e+00,1.592872955978078542e+00,-1.108102418909870934e-01,1.668288193338542502e+00,1.724553797986501102e+00,6.850602541426198400e-02,1.111660681947640228e+00,1.605132801246282881e+00
-7.307469083471307414e-01,-3.973699180055461078e+00,1.219483225949392846e+00,1.955384720970538837e-01,-1.382647285553598504e+00,-1.914387849342342296e+00,-6.491703257598455679e-01,-9.121786813224730395e-01,-1.347962691140178748e-01,-1.143132144519043436e-02,-1.856320837600535789e+00,-1.249932512361914938e+00
-5.805337213795938034e-01,-7.873854481313316001e+00,-1.118642755935135291e+00,-5.689990375838984704e-01,4.091365494899079636e-03,-1.025345667840269037e+00,-4.681112025430502754e-01,5.366557824390172371e-01,1.564060815812802652e+00,-8.841834633429002110e-02,-3.215385663439018771e-01,-1.646449421114108524e+00
-8.831005487910505991e-01,1.182093856420137534e+00,1.585353119740616989e+00,-8.895657594918331412e-01,-1.157281146968776042e-01,-1.446398953438496449e+00,4.446594443698641541e-01,1.410669853165600784e+00,3.141340084178523284e-01,-4.901665196985582895e-02,3.404247992773594689e-01,2.194541610827515754e+00
-3.852352710550119852e-01,-5.428349460951886751e-02,-1.622525418482405613e-01,-1.184922780167951828e-01,4.412198855766469308e-02,5.991021345211153815e-01,-3.346165522642863266e-02,3.126574180130394343e+00,1.844715340751648780e+00,-2.250859166870426975e-01,2.065005361474083756e-01,1.287456460999804708e+00
-1.738276281854540972e+00,5.357028907101235582e-01,4.629033962904065547e-01,-1.375029256958948398e+00,4.292632003077541114e-01,-4.239851677386314854e+00,6.050965130054652974e-02,3.331535975552764040e+00,3.564429606492400815e-01,-1.227791542566230021e-01,-3.159245541701976023e-01,8.885551068344788028e-01
9.503865927062093988e-02,2.116372606414614665e+00,9.665597829057963608e-01,-8.112331228342248846e-01,8.559392033413617540e-01,2.292930732128084514e-01,2.787616806433015348e+00,2.857375654525877273e+00,6.694769100288404218e+00,4.237351271022138377e-02,-8.827482868872449373e-02,8.729106351105582196e-01
-9.977644440052666486e-01,-4.262636971817835629e+00,9.883823862769025581e-01,-1.473694137409560234e+00,3.556441931152738434e-01,-6.878433514681335792e-01,2.070608511832414678e-01,2.243861809989695644e-01,1.435103823656143529e+00,-2.239101499035571763e-01,-6.250714861706452297e-01,1.569358499515285388e-01
2.177990068116586464e-01,1.901296615551589575e+00,6.258183914072437126e-01,3.385485900559760175e+00,8.914568262391702191e-01,1.866785284171116999e+00,3.149731988867126020e-01,9.364170321722564694e-01,1.006995512549214489e+00,-3.720632460131767516e-03,-2.004557879121025010e-01,1.511932484231335749e+00
-4.155833168483498152e-01,1.555222002587192787e+00,5.851028489238503383e-01,-1.046158583828088240e+00,4.814853014942155340e-02,1.146137249915026857e-01,1.059564432290542868e-01,2.071149158081613706e+00,8.756991023648348360e-01,4.437710661355698250e-02,1.304464494096908567e-01,-4.806731475433911882e-02
